Team;G;W;L;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Age;PW;PL;MOV;SOS;SRS;ORtg;DRtg;NRtg;Pace;FTr;3PAr;TS%;eFG%;TOV%;ORB%;FT/FGA;eFG%;TOV%;DRB%;FT/FGA
Atlanta Hawks*;72;41;31;17405;2937;6281;.468;895;2402;.373;2042;3879;.526;1417;1745;.812;760;2525;3285;1737;503;342;953;1392;8186;25.4;41;31;2.32;-0.18;2.14;115.7;113.3;+2.4;97.6;.278;.382;.581;.539;11.9;24.4;.226;.530;11.1;77.8;.190
Boston Celtics*;72;36;36;17380;2985;6401;.466;979;2618;.374;2006;3783;.530;1160;1496;.775;765;2421;3186;1689;556;383;1012;1471;8109;25.1;39;33;1.46;-0.14;1.32;114.0;112.5;+1.5;98.3;.234;.409;.574;.543;12.5;24.3;.181;.539;12.8;78.1;.215
Brooklyn Nets*;72;48;24;17405;3106;6289;.494;1020;2600;.392;2086;3689;.565;1305;1623;.804;640;2559;3199;1929;484;379;975;1371;8537;28.2;46;26;4.50;-0.27;4.24;118.3;113.8;+4.5;99.5;.258;.413;.610;.575;12.2;21.4;.208;.531;11.1;77.3;.187
Charlotte Hornets;72;33;39;17355;2875;6324;.455;985;2666;.369;1890;3658;.517;1146;1505;.761;762;2389;3151;1933;565;344;1069;1298;7881;24.6;32;40;-1.93;-0.01;-1.94;110.9;112.8;-1.9;98.3;.238;.422;.564;.532;13.3;23.5;.181;.550;13.2;75.7;.163
Chicago Bulls;72;31;41;17380;3035;6380;.476;904;2446;.370;2131;3934;.542;995;1258;.791;693;2544;3237;1927;482;304;1089;1362;7969;25.6;34;38;-0.89;-0.05;-0.94;111.1;112.0;-0.9;99.0;.197;.383;.575;.547;13.6;22.3;.156;.538;11.6;80.3;.196
Cleveland Cavaliers;72;22;50;17430;2778;6175;.450;720;2141;.336;2058;4034;.510;1200;1614;.743;751;2327;3078;1716;559;325;1114;1308;7476;24.0;18;54;-8.44;0.25;-8.19;105.8;114.4;-8.6;97.3;.261;.347;.543;.508;13.9;23.6;.194;.556;13.0;76.6;.183
Dallas Mavericks*;72;42;30;17305;2958;6287;.470;994;2744;.362;1964;3543;.554;1186;1524;.778;657;2463;3120;1647;450;311;869;1396;8096;26.3;41;31;2.26;-0.01;2.26;115.4;113.0;+2.4;97.3;.242;.436;.582;.550;11.1;21.1;.189;.534;11.5;77.8;.197
Denver Nuggets*;72;47;25;17480;3114;6422;.485;927;2462;.377;2187;3960;.552;1129;1406;.803;758;2442;3200;1933;582;323;972;1374;8284;26.1;47;25;4.93;-0.11;4.82;117.1;112.1;+5.0;97.1;.219;.383;.588;.557;12.1;24.7;.176;.545;12.9;78.9;.200
Detroit Pistons;72;20;52;17430;2783;6162;.452;832;2370;.351;1951;3792;.515;1278;1683;.759;694;2381;3075;1743;531;371;1075;1477;7676;24.5;26;46;-4.47;0.09;-4.38;108.0;112.5;-4.5;97.9;.273;.385;.556;.519;13.5;21.9;.207;.541;12.6;76.9;.195
Golden State Warriors;72;39;33;17305;2973;6347;.468;1048;2789;.376;1925;3558;.541;1193;1520;.785;574;2524;3098;1991;587;342;1080;1526;8187;26.7;38;34;1.06;0.04;1.10;111.1;110.1;+1.0;102.2;.239;.439;.583;.551;13.3;17.9;.188;.522;13.1;76.6;.223
Houston Rockets;72;17;55;17305;2826;6372;.444;992;2923;.339;1834;3449;.532;1189;1606;.740;671;2396;3067;1699;546;361;1060;1407;7833;26.5;20;52;-7.90;0.40;-7.50;107.1;114.9;-7.8;101.4;.252;.459;.553;.521;13.0;19.8;.187;.555;12.9;77.1;.201
Indiana Pacers;72;34;38;17455;3115;6567;.474;889;2445;.364;2226;4122;.540;1183;1493;.792;648;2424;3072;1973;611;460;975;1453;8302;26.5;36;36;-0.04;-0.08;-0.13;112.4;112.4;0.0;101.6;.227;.372;.575;.542;11.9;20.2;.180;.531;12.7;74.9;.201
Los Angeles Clippers*;72;47;25;17280;3009;6242;.482;1027;2498;.411;1982;3744;.529;1164;1387;.839;678;2501;3179;1756;509;295;950;1383;8209;28.8;49;23;6.18;-0.16;6.02;117.6;111.2;+6.4;96.9;.222;.400;.599;.564;12.2;22.7;.186;.531;11.9;79.1;.186
Los Angeles Lakers*;72;42;30;17455;2925;6197;.472;796;2248;.354;2129;3949;.539;1241;1679;.739;695;2490;3185;1775;562;386;1095;1377;7887;28.2;42;30;2.79;-0.03;2.77;109.9;107.1;+2.8;98.7;.271;.363;.569;.536;13.6;22.5;.200;.526;13.7;79.7;.184
Memphis Grizzlies*;72;38;34;17405;3085;6608;.467;803;2258;.356;2282;4350;.525;1184;1536;.771;803;2543;3346;1938;655;364;957;1349;8157;24.2;38;34;1.03;0.04;1.07;112.0;111.0;+1.0;100.4;.232;.342;.560;.528;11.6;24.2;.179;.535;13.1;78.3;.196
Miami Heat*;72;40;32;17380;2824;6029;.468;932;2606;.358;1892;3423;.553;1201;1520;.790;579;2409;2988;1895;569;286;1013;1363;7781;27.4;36;36;0.03;-0.09;-0.06;111.2;111.2;0.0;96.6;.252;.432;.581;.546;13.1;19.4;.199;.542;13.8;77.9;.183
Milwaukee Bucks*;72;46;26;17330;3221;6610;.487;1038;2669;.389;2183;3941;.554;1169;1539;.760;741;2724;3465;1834;585;334;995;1244;8649;28.1;48;24;5.89;-0.32;5.57;117.2;111.4;+5.8;102.2;.233;.404;.593;.566;12.0;23.3;.177;.536;11.5;79.7;.157
Minnesota Timberwolves;72;23;49;17405;2932;6546;.448;944;2706;.349;1988;3840;.518;1265;1662;.761;757;2376;3133;1846;632;398;1027;1507;8073;23.2;24;48;-5.56;0.31;-5.25;109.5;115.0;-5.5;101.6;.254;.413;.555;.520;12.4;22.7;.193;.556;13.3;76.8;.207
New Orleans Pelicans;72;31;41;17430;3060;6412;.477;762;2190;.348;2298;4222;.544;1369;1878;.729;845;2568;3413;1872;545;315;1052;1295;8251;24.8;35;37;-0.29;0.10;-0.20;113.5;113.8;-0.3;100.1;.293;.342;.570;.537;12.7;26.3;.214;.550;11.9;80.0;.186
New York Knicks*;72;41;31;17430;2839;6225;.456;847;2163;.392;1992;4062;.490;1181;1506;.784;696;2554;3250;1541;507;365;932;1473;7706;25.6;41;31;2.31;-0.18;2.13;110.6;108.2;+2.4;95.9;.242;.347;.559;.524;11.9;21.9;.190;.509;11.7;78.6;.196
Oklahoma City Thunder;72;22;50;17355;2795;6338;.441;857;2529;.339;1938;3809;.509;1113;1536;.725;715;2568;3283;1588;504;316;1162;1305;7560;22.8;15;57;-10.64;0.51;-10.13;103.5;114.0;-10.5;101.0;.242;.399;.539;.509;14.2;21.2;.176;.547;11.5;77.9;.167
Orlando Magic;72;21;51;17330;2754;6423;.429;784;2288;.343;1970;4135;.476;1196;1543;.775;747;2525;3272;1571;496;318;924;1237;7488;25.6;17;55;-9.31;0.29;-9.02;105.1;114.5;-9.4;98.7;.240;.356;.527;.490;11.5;21.6;.186;.547;11.5;78.2;.169
Philadelphia 76ers*;72;49;23;17430;2981;6257;.476;811;2169;.374;2170;4088;.531;1409;1836;.767;722;2522;3244;1706;655;447;1040;1456;8182;27.1;48;24;5.58;-0.31;5.28;113.2;107.6;+5.6;99.5;.293;.347;.579;.541;12.8;23.2;.225;.521;13.8;78.2;.200
Phoenix Suns*;72;51;21;17480;3118;6357;.490;940;2490;.378;2178;3867;.563;1124;1347;.834;630;2462;3092;1939;517;312;902;1374;8300;26.6;49;23;5.82;-0.15;5.67;117.2;111.3;+5.9;97.2;.212;.392;.597;.564;11.5;20.8;.177;.534;12.4;78.5;.194
Portland Trail Blazers*;72;42;30;17305;2973;6558;.453;1132;2939;.385;1841;3619;.509;1282;1558;.823;766;2441;3207;1531;496;363;799;1362;8360;27.4;40;32;1.79;0.01;1.81;117.8;116.0;+1.8;98.4;.238;.448;.577;.540;9.9;23.0;.195;.546;11.2;77.5;.203
Sacramento Kings;72;31;41;17305;3067;6382;.481;874;2400;.364;2193;3982;.551;1181;1585;.745;674;2307;2981;1836;543;358;963;1400;8189;25.6;28;44;-3.68;0.23;-3.45;113.6;117.2;-3.6;100.0;.248;.376;.578;.549;12.0;21.3;.185;.557;12.1;75.0;.199
