SEASON;TEAM_NAME;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;OFF_RATING;DEF_RATING;NET_RATING;AST_PCT;AST_TO;AST_RATIO;OREB_PCT;DREB_PCT;REB_PCT;TM_TOV_PCT;EFG_PCT;TS_PCT;PACE;POSS;PIE
2006-07;Atlanta Hawks;82;30;52;0.366;3976.0;34.5;77.7;0.444;4.2;12.7;0.329;20.5;26.9;0.761;11.9;28.2;40.1;19.2;15.9;7.4;5.4;5.1;24.0;22.6;93.7;-4.8;102.0;107.0;-5.1;0.556;1.2;15.3;0.328;0.676;0.499;0.173;0.471;0.523;90.98;7533;0.466
2006-07;Boston Celtics;82;24;58;0.293;3971.0;34.9;78.7;0.443;5.7;15.6;0.367;20.4;26.6;0.767;11.2;29.2;40.4;19.9;16.5;7.2;4.7;5.5;24.0;21.4;95.8;-3.4;102.3;105.8;-3.5;0.57;1.21;15.6;0.309;0.705;0.502;0.176;0.479;0.53;92.91;7680;0.459
2006-07;Charlotte Bobcats;82;33;49;0.402;4001.0;36.1;81.0;0.446;5.6;15.6;0.357;19.1;26.0;0.734;11.2;28.6;39.8;22.4;14.9;7.8;4.5;5.3;24.2;21.8;96.9;-3.7;102.4;106.3;-3.9;0.62;1.5;17.1;0.299;0.682;0.485;0.158;0.48;0.524;93.11;7758;0.471
2006-07;Chicago Bulls;82;49;33;0.598;3956.0;37.1;81.3;0.457;5.9;15.1;0.388;18.6;25.4;0.734;12.0;31.7;43.7;22.3;16.0;7.8;5.4;5.3;23.3;23.2;98.8;5.0;104.0;98.8;5.2;0.601;1.4;17.0;0.319;0.707;0.514;0.168;0.493;0.534;94.47;7790;0.539
2006-07;Cleveland Cavaliers;82;50;32;0.61;3976.0;36.3;81.2;0.447;6.0;17.1;0.352;18.1;26.0;0.696;12.7;30.8;43.5;20.8;14.4;7.6;4.3;4.3;21.7;22.0;96.8;3.8;104.4;100.6;3.8;0.574;1.45;16.2;0.327;0.721;0.518;0.155;0.484;0.522;91.59;7598;0.52
2006-07;Dallas Mavericks;82;67;15;0.817;3951.0;36.7;78.6;0.467;6.5;17.1;0.381;20.1;24.9;0.805;11.2;30.7;41.9;19.9;13.9;6.8;5.0;3.8;22.4;22.1;100.0;7.2;109.7;102.1;7.6;0.542;1.43;16.0;0.32;0.719;0.522;0.152;0.509;0.559;90.68;7476;0.552
2006-07;Denver Nuggets;82;45;37;0.549;3956.0;38.6;83.0;0.465;5.9;17.6;0.336;22.3;29.9;0.746;12.2;31.2;43.4;23.4;16.5;8.3;5.3;5.2;21.4;23.7;105.4;1.6;106.7;105.1;1.7;0.607;1.42;17.1;0.322;0.678;0.502;0.167;0.501;0.548;98.2;8093;0.514
2006-07;Detroit Pistons;82;53;29;0.646;3976.0;35.9;79.1;0.454;5.5;15.9;0.344;18.8;24.2;0.774;11.6;29.0;40.5;21.6;12.2;7.1;5.8;3.5;20.4;20.3;96.0;4.2;107.4;102.6;4.8;0.601;1.77;17.3;0.307;0.678;0.493;0.137;0.488;0.535;88.56;7332;0.533
2006-07;Golden State Warriors;82;42;40;0.512;3951.0;39.8;86.0;0.463;8.5;24.0;0.356;18.5;25.8;0.717;11.5;29.9;41.4;23.8;16.0;9.1;5.7;4.9;23.6;22.3;106.5;-0.3;106.2;106.5;-0.3;0.598;1.49;17.3;0.285;0.662;0.472;0.159;0.512;0.548;99.97;8228;0.489
2006-07;Houston Rockets;82;52;30;0.634;3971.0;35.4;79.6;0.445;8.6;23.1;0.372;17.5;23.2;0.753;10.7;32.6;43.3;20.8;14.2;7.1;4.1;4.3;20.9;19.9;97.0;4.9;104.7;99.7;4.9;0.586;1.47;16.5;0.287;0.725;0.508;0.153;0.499;0.54;91.7;7598;0.529
2006-07;Indiana Pacers;82;35;47;0.427;3956.0;35.0;80.0;0.438;5.9;16.9;0.346;19.7;25.9;0.76;12.1;29.8;41.8;20.5;16.3;7.3;5.5;5.0;23.3;23.7;95.6;-2.4;101.9;104.4;-2.5;0.585;1.26;15.9;0.321;0.694;0.503;0.173;0.474;0.523;93.43;7697;0.485
