DATE,LTOTALNSA
2000-01-01,1204.8
2000-02-01,1499.8
2000-03-01,1663.5
2000-04-01,1495.4
2000-05-01,1619.7
2000-06-01,1613.9
2000-07-01,1432.0
2000-08-01,1539.6
2000-09-01,1474.4
2000-10-01,1334.0
2000-11-01,1232.3
2000-12-01,1240.3
2001-01-01,1167.9
2001-02-01,1353.1
2001-03-01,1593.6
2001-04-01,1346.3
2001-05-01,1599.8
2001-06-01,1619.6
2001-07-01,1346.9
2001-08-01,1448.5
2001-09-01,1289.1
2001-10-01,1722.4
2001-11-01,1324.5
2001-12-01,1310.7
2002-01-01,1108.482
2002-02-01,1307.003
2002-03-01,1514.73
2002-04-01,1441.794
2002-05-01,1506.76
2002-06-01,1536.508
2002-07-01,1524.422
2002-08-01,1705.595
2002-09-01,1223.89
2002-10-01,1301.113
2002-11-01,1203.093
2002-12-01,1442.823
2003-01-01,1088.199
2003-02-01,1216.018
2003-03-01,1449.681
2003-04-01,1408.148
2003-05-01,1573.551
2003-06-01,1473.897
2003-07-01,1509.489
2003-08-01,1628.911
2003-09-01,1301.276
2003-10-01,1302.6
2003-11-01,1258.681
2003-12-01,1428.651
2004-01-01,1122.521
2004-02-01,1274.511
2004-03-01,1502.72
2004-04-01,1419.387
2004-05-01,1625.255
2004-06-01,1443.644
2004-07-01,1552.94
2004-08-01,1426.191
2004-09-01,1433.618
2004-10-01,1331.827
2004-11-01,1196.165
2004-12-01,1538.086
2005-01-01,1060.511
2005-02-01,1250.683
2005-03-01,1572.585
2005-04-01,1499.407
2005-05-01,1495.78
2005-06-01,1673.756
2005-07-01,1804.325
2005-08-01,1480.822
2005-09-01,1325.956
2005-10-01,1143.072
2005-11-01,1161.567
2005-12-01,1479.707
2006-01-01,1139.926
2006-02-01,1257.182
2006-03-01,1525.66
2006-04-01,1443.779
2006-05-01,1484.938
2006-06-01,1495.919
2006-07-01,1489.597
2006-08-01,1482.517
2006-09-01,1350.482
2006-10-01,1213.124
2006-11-01,1194.895
2006-12-01,1426.089
2007-01-01,1087.39
2007-02-01,1251.102
2007-03-01,1536.912
2007-04-01,1332.402
2007-05-01,1558.722
2007-06-01,1450.15
2007-07-01,1304.27
2007-08-01,1471.223
2007-09-01,1310.451
2007-10-01,1226.589
2007-11-01,1175.363
2007-12-01,1384.414
2008-01-01,1039.126
2008-02-01,1171.68
2008-03-01,1351.539
2008-04-01,1243.507
2008-05-01,1392.824
2008-06-01,1185.273
2008-07-01,1132.262
2008-08-01,1246.798
2008-09-01,962.306
2008-10-01,834.592
2008-11-01,743.609
2008-12-01,891.318
2009-01-01,654.893
2009-02-01,687.174
2009-03-01,855.181
2009-04-01,817.325
2009-05-01,923.902
2009-06-01,857.425
2009-07-01,995.699
2009-08-01,1260.07
2009-09-01,744.198
2009-10-01,835.691
2009-11-01,744.478
2009-12-01,1026.256
2010-01-01,696.571
2010-02-01,778.457
2010-03-01,1063.632
2010-04-01,980.424
2010-05-01,1100.755
2010-06-01,981.288
2010-07-01,1047.006
2010-08-01,994.326
2010-09-01,955.942
2010-10-01,946.613
2010-11-01,869.68
2010-12-01,1140.13
2011-01-01,818.138
2011-02-01,987.943
2011-03-01,1251.321
2011-04-01,1150.473
2011-05-01,1056.136
2011-06-01,1043.754
2011-07-01,1062.411
2011-08-01,1066.797
2011-09-01,1048.697
2011-10-01,1019.196
2011-11-01,1002.05
2011-12-01,1234.9
2012-01-01,913.876
2012-02-01,1148.86
2012-03-01,1402.165
2012-04-01,1175.666
2012-05-01,1338.04
2012-06-01,1279.747
2012-07-01,1142.849
2012-08-01,1274.98
2012-09-01,1179.645
2012-10-01,1090.298
2012-11-01,1144.02
2012-12-01,1343.057
2013-01-01,1040.808
2013-02-01,1193.022
2013-03-01,1453.654
2013-04-01,1283.203
2013-05-01,1442.909
2013-06-01,1394.274
2013-07-01,1306.247
2013-08-01,1498.663
2013-09-01,1124.263
2013-10-01,1201.662
2013-11-01,1243.666
2013-12-01,1347.73
2014-01-01,1016.377
2014-02-01,1194.307
2014-03-01,1530.482
2014-04-01,1373.829
2014-05-01,1610.603
2014-06-01,1417.619
2014-07-01,1437.616
2014-08-01,1571.672
2014-09-01,1235.539
2014-10-01,1273.698
2014-11-01,1294.106
2014-12-01,1496.342
2015-01-01,1147.713
2015-02-01,1254.518
2015-03-01,1542.349
2015-04-01,1444.196
2015-05-01,1632.551
2015-06-01,1476.226
2015-07-01,1507.094
2015-08-01,1560.371
2015-09-01,1438.495
2015-10-01,1448.641
2015-11-01,1324.585
2015-12-01,1631.252
2016-01-01,1157.949
2016-02-01,1341.875
2016-03-01,1574.683
2016-04-01,1490.764
2016-05-01,1519.653
2016-06-01,1514.078
2016-07-01,1517.483
2016-08-01,1507.192
2016-09-01,1430.893
2016-10-01,1368.476
2016-11-01,1371.003
2016-12-01,1683.262
2017-01-01,1139.486
2017-02-01,1325.195
2017-03-01,1548.831
2017-04-01,1418.963
2017-05-01,1510.577
2017-06-01,1466.048
2017-07-01,1409.703
2017-08-01,1474.998
2017-09-01,1518.196
2017-10-01,1350.296
2017-11-01,1390.337
2017-12-01,1597.455
2018-01-01,1151.908
2018-02-01,1294.694
2018-03-01,1647.975
2018-04-01,1354.484
2018-05-01,1587.518
2018-06-01,1544.695
2018-07-01,1363.887
